,event_date,event_title,event_description,location_description,location_accuracy,landslide_category,landslide_trigger,landslide_size,landslide_setting,fatality_count,injury_count,country_name,admin_division_name,admin_division_population,gazeteer_closest_point,gazeteer_distance,longitude,latitude,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipcover,windgust,windspeed,winddir,pressure,cloudcover,visibility,moonphase,conditions,stations,elevation,continent,season,treecover2000,loss,gain,soil_texture_0,soil_texture_10,soil_texture_30,soil_texture_60,soil_texture_100,soil_texture_200,population_density_2000,population_density_2005,population_density_2010,population_density_2015,population_density_2020
128,2007-07-01 00:00:00,"Cam Pha Town, Quang Ninh Province",140-257mm of rain; also landslides in Ha Long City’s Hong Gai and Bai Chay,"Cam Pha Town, Quang Ninh Province",5km,landslide,rain,medium,unknown,3.0,0.0,Vietnam,Quảng Ninh,135477,Cẩm Phả Mines,1.03388,107.293,21.0233,27.7,24.9,26.2,33.1,24.9,27.5,25.7,96.82,23.6,37.5,50.95586533403471,7.2,176.5636135644968,1002.0,98.8,9.3,0.51,"Rain, Overcast",['48826099999'],250.0,Asia,summer,0,0.0,0,SaClLo,ClLo,ClLo,ClLo,ClLo,ClLo,424.01708984375,452.4898376464844,479.26947021484375,507.7560119628906,530.2240600585938
249,2007-10-05 00:00:00,Thanh Hoa,"flooding and landslides affected entire province, 67 died in total in two provinces",Thanh Hoa,unknown,complex,tropical_cyclone,large,unknown,0.0,0.0,Vietnam,Thanh Hóa,0,Thị Trấn Ngọc Lặc,6.03262,105.35,20.04,27.9,24.4,25.7,33.4,24.4,27.5,24.9,95.39,134.6,37.5,50.95586533403471,28.8,176.5636135644968,1007.1,100.0,15.5,0.86,"Rain, Overcast",['48840099999'],164.0,Asia,autumn,55,0.0,0,ClLo,ClLo,ClLo,Cl,ClLo,ClLo,271.9801025390625,269.27227783203125,264.60113525390625,260.073486328125,251.95877075195312
248,2007-10-05 00:00:00,"Nghe An's Que Phong, Son La","multiple areas in North and Central Vietnam hit by Typhoon, extensive flooding and landslides, especially along road cuts","Nghe An's Que Phong, Son La",25km,landslide,tropical_cyclone,large,unknown,0.0,0.0,Vietnam,Sơn La,19054,Sơn La,2.18698,103.9,21.3167,24.1,21.4,22.3,24.1,21.4,22.3,21.4,94.73,64.0,37.5,50.95586533403471,7.2,176.5636135644968,1009.1,90.0,12.3,0.86,"Rain, Partially cloudy",['48806099999'],716.0,Asia,autumn,0,0.0,0,ClLo,ClLo,Cl,Cl,Cl,Cl,244.02345275878903,269.44415283203125,295.2918701171875,323.6969299316406,349.7475280761719
260,2007-10-15 00:00:00,Quang Nam Province,"27 landslides in 6 mountainous districts, affecting the road",Quang Nam Province,unknown,landslide,rain,medium,unknown,0.0,0.0,Vietnam,Quảng Nam,0,Doug An,18.76169,107.9408,15.6045,26.1,24.1,24.7,26.1,24.1,24.7,23.6,93.74,35.3,13.04,50.95586533403471,32.4,176.5636135644968,1013.5,90.9,6.5,0.08,"Rain, Overcast",['48855099999'],29.0,Asia,autumn,99,0.0,0,ClLo,ClLo,ClLo,ClLo,ClLo,ClLo,66.29684448242188,67.44048309326172,68.0916748046875,68.76567840576172,68.45079040527344
283,2007-10-30 00:00:00,Quang Nam,blocked roads in mountainous areas,Quang Nam,50km,landslide,tropical_cyclone,medium,unknown,3.0,0.0,Vietnam,Quảng Nam,0,Doug An,15.95575,107.966,15.5946,28.1,23.1,25.4,32.8,23.1,25.7,23.6,89.74,70.4,16.67,50.95586533403471,39.6,176.5636135644968,1009.0,93.3,5.3,0.63,"Rain, Overcast",['48855099999'],129.0,Asia,autumn,87,0.0,0,ClLo,ClLo,ClLo,Cl,Cl,Cl,66.2968521118164,67.44049072265625,68.09168243408203,68.76567840576172,68.45079040527344
296,2007-11-05 00:00:00,National Highway 24 and Quang Ngai Province,,National Highway 24 and Quang Ngai Province,25km,landslide,rain,medium,unknown,0.0,0.0,Vietnam,Quảng Ngãi,0,Trà Bồng,4.19484,108.4852,15.234,24.2,22.2,23.1,24.2,22.2,23.1,20.7,86.47,0.0,0.0,50.95586533403471,7.2,176.5636135644968,1013.7,100.0,15.0,0.92,Overcast,['48863099999'],641.0,Asia,autumn,97,1.0,0,Lo,Lo,ClLo,ClLo,ClLo,ClLo,70.51805877685547,71.28179168701172,71.51586151123047,71.76793670654297,70.98843383789062
299,2007-11-09 00:00:00,"Nam Tra My District, Quang Nam Province","major flooding and landslides throughout provinces, ","Nam Tra My District, Quang Nam Province",10km,landslide,rain,medium,unknown,12.0,0.0,Vietnam,Quảng Nam,0,Trà My,0.82096,108.2167,15.3333,27.1,21.1,23.8,29.3,21.1,23.9,19.7,78.89,0.8,4.35,50.95586533403471,20.5,176.5636135644968,1011.3,93.3,7.0,1.0,"Rain, Overcast","['48855099999', '48863099999']",126.0,Asia,autumn,52,1.0,0,ClLo,ClLo,ClLo,ClLo,ClLo,ClLo,44.53559494018555,45.3038444519043,45.74129104614258,46.19405364990234,45.98252868652344
355,2008-01-04 00:00:00,"Kim Bang district, Ha Namh province",heavy rains caused rocks/earth to slide,"Kim Bang district, Ha Namh province",25km,landslide,rain,medium,unknown,3.0,0.0,Vietnam,Hà Nam,31801,Thành Phố Phủ Lý,2.68849,105.9,20.5667,22.1,8.1,15.1,22.1,6.8,15.0,8.8,69.77,0.0,0.0,50.95586533403471,10.3,146.4,1019.6,0.4,6.5,0.93,Clear,"['48820099999', '48823099999']",9.0,Asia,winter,0,0.0,0,Lo,Lo,ClLo,ClLo,ClLo,ClLo,765.4536743164062,760.8478393554688,750.6236572265625,740.7147827148438,720.4583129882812
393,2008-02-20 00:00:00,Quang Ngai,caused traffic jams,Quang Ngai,unknown,landslide,rain,medium,unknown,0.0,0.0,Vietnam,Quảng Ngãi,0,Minh Long,6.65669,108.701,14.9923,21.9,19.2,20.6,21.9,19.2,20.6,17.5,82.89,0.0,0.0,50.95586533403471,10.8,346.7,1019.8,97.5,12.5,0.5,Overcast,['48863099999'],114.0,Asia,winter,78,0.0,0,ClLo,ClLo,ClLo,ClLo,ClLo,ClLo,71.38594818115234,72.1590805053711,72.39603424072266,72.65120697021484,71.86211395263672
488,2008-06-07 00:00:00,"Nha Be District, Ho Chi Minh City","covered 1,000sq.m in Nha Be District, damaged 11 houses worth VND370 million (US$21,764), several days of rain","Nha Be District, Ho Chi Minh City",25km,landslide,rain,medium,unknown,0.0,0.0,Vietnam,Long An,152200,Cần Duộc,12.54307,106.7361,10.7069,32.1,25.1,27.2,39.3,25.1,29.3,24.6,86.73,2.0,4.17,50.95586533403471,18.4,150.7,1008.4,60.4,8.0,0.09,"Rain, Partially cloudy",['48900099999'],5.0,Asia,spring,10,0.0,0,ClLo,ClLo,ClLo,ClLo,Cl,ClLo,4264.78955078125,5085.7509765625,6019.46728515625,7126.32080078125,8315.755859375
