event_date,longitude,latitude,true,pred
69.0,103.1644,22.0596,1,1
64.0,105.7492,10.006,1,1
43.0,109.2164,13.3137,1,1
1.0,105.35,20.04,0,0
24.0,104.5916,21.4936,1,1
21.0,107.8584,14.5179,2,2
45.0,103.8838,22.4209,1,1
63.0,105.8144,10.2824,1,1
42.0,108.7431,14.8315,1,1
12.0,104.0,21.25,1,1
55.0,106.6741,21.8411,3,3
46.0,105.3131,19.9436,0,1
70.0,103.6099,22.3256,1,1
34.0,107.5989,16.375,1,1
35.0,108.9881,11.989,1,2
19.0,105.2523,8.8313,1,1
71.0,105.8437,20.8606,1,1
74.0,103.8646,22.3608,1,1
57.0,108.3348,14.9847,1,2
10.0,104.07,22.2666,1,1
38.0,108.3008,15.3012,1,1
